Supplier	Content of Supplier
Umicore Finland Oy	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Finland.
Murrin Murrin Nickel Cobalt Plant	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Australia.
XYZ Electronics Co.	Nonconformant supplier with multiple violations related to labor rights and environmental practices, located in China.
ABC Manufacturing Ltd.	Conformant supplier with a strong commitment to sustainability and responsible sourcing, located in the United States.
DEF Metals Inc.	Nonconformant supplier with significant environmental impact and human rights concerns, located in Brazil.
GHI Technologies Co.	Conformant supplier with a focus on renewable energy and ethical sourcing practices, located in Germany.
JKL Materials Ltd.	Nonconformant supplier with ongoing labor rights violations and inadequate safety measures, located in India.
MNO Resources Inc.	Conformant supplier with a strong commitment to social responsibility and community engagement, located in Canada.
PQR Metals Co.	Nonconformant supplier with a history of environmental pollution and disregard for worker safety, located in Mexico.
STU Electronics Ltd.	Conformant supplier with a focus on sustainable practices and responsible supply chain management, located in Japan.
VWX Manufacturing Co.	Nonconformant supplier with multiple labor rights violations and a lack of transparency in their supply chain, located in Vietnam.
YZT Resources Ltd.	Conformant supplier with a strong commitment to human rights and environmental sustainability, located in Australia.
