Supplier	Content of Supplier	Number	Company	Year	Report_type
ABC Manufacturing Ltd.	Conformant supplier with a strong commitment to sustainability and responsible sourcing, located in the United States.	1	2016_12_31	2016	10k
DEF Metals Inc.	Nonconformant supplier with significant environmental impact and human rights concerns, located in Brazil.	2	2016_12_31	2016	10k
GHI Technologies Co.	Conformant supplier with a focus on renewable energy and ethical sourcing, located in Germany.	3	2016_12_31	2016	10k
JKL Materials Ltd.	Nonconformant supplier with ongoing labor rights violations, located in India.	4	2016_12_31	2016	10k
MNO Resources Inc.	Conformant supplier with a strong commitment to social responsibility and community engagement, located in Canada.	5	2016_12_31	2016	10k
Murrin Murrin Nickel Cobalt Plant	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Australia.	6	2016_12_31	2016	10k
PQR Metals Co.	Nonconformant supplier with a history of environmental noncompliance, located in Mexico.	7	2016_12_31	2016	10k
STU Electronics Ltd.	Conformant supplier with a focus on sustainable practices and responsible sourcing, located in Japan.	8	2016_12_31	2016	10k
Umicore Finland Oy	Conformant refiner sourcing cobalt for Gigafactory Nevada and Fremont external cell sourcing, located in Finland.	9	2016_12_31	2016	10k
VWX Manufacturing Co.	Nonconformant supplier with labor rights violations and poor working conditions, located in Vietnam.	10	2016_12_31	2016	10k
XYZ Electronics Co.	Nonconformant supplier with multiple violations related to labor rights and environmental practices, located in China.	11	2016_12_31	2016	10k
YZT Resources Ltd.	Conformant supplier sourcing ethically and responsibly, located in Australia.	12	2016_12_31	2016	10k
